Wall time,Step,Value
1557365294.874256,1576,-28.001558303833008
1557365298.4202046,2096,181.19171142578125
1557365310.5180967,3746,-187.621826171875
1557365311.9509878,3957,-4.487811088562012
1557365318.3618813,4884,49.88490676879883
1557365328.3367364,6277,80.17816162109375
1557365330.4794989,6580,-117.16552734375
1557365341.2671425,8082,196.3839569091797
1557365383.1682503,13814,-116.43098449707031
1557365384.6658294,14069,-67.2987060546875
1557365389.6434479,14714,-134.5912628173828
1557365399.109747,16079,-96.30132293701172
1557365426.7239165,19870,-210.0040283203125
1557365430.3844023,20375,-152.41725158691406
1557365443.186448,22163,-227.1045684814453
1557365446.794328,22668,-124.33329772949219
1557365451.806553,23375,-194.80868530273438
1557365455.403071,23809,-145.23069763183594
1557365477.7605417,26999,82.42230224609375
1557365479.8482563,27201,-196.81431579589844
1557365483.5646286,27745,-4.397900104522705
1557365496.4800797,29535,-115.7579574584961
1557365500.898712,30171,-14.018454551696777
1557365515.3802328,32113,-110.49028778076172
1557365549.554628,36865,76.08451080322266
1557365550.3347526,36966,-183.70066833496094
1557365562.806446,38527,-122.71878051757812
1557365565.1396506,38830,-236.20484924316406
1557365574.7059205,40042,-7.043795108795166
1557365577.0620208,40345,-111.02149200439453
1557365577.8359184,40446,-315.1462097167969
1557365585.6791139,41456,-167.30374145507812
1557365598.182803,43056,-139.5175018310547
1557365612.310567,44804,-136.0811309814453
1557365627.9838235,46856,-222.04953002929688
1557365645.819138,49156,-148.3654327392578
1557365657.1615682,50601,-197.9180908203125
1557365660.2224145,51056,-4.1254119873046875
1557365660.240131,51076,188.02301025390625
1557365682.2360816,53938,-123.6411361694336
1557365691.849601,55182,-196.7514190673828
1557365697.5127635,55865,-131.42184448242188
1557365697.5381746,55894,-19.843719482421875
1557365699.0408506,56096,-115.77030181884766
1557365701.4760277,56307,-113.87430572509766
1557365702.3176532,56431,-14.676432609558105
1557365710.4655232,57459,-4.223902702331543
1557365717.2114832,58377,-134.57435607910156
1557365752.5096295,62402,-4.03225040435791
1557365757.6256835,63045,-151.4928436279297
1557365764.1236584,63761,-197.35467529296875
1557365781.0416415,65799,-125.87799835205078
1557365785.0711486,66203,-124.21397399902344
1557365792.0078084,67112,-130.90679931640625
1557365794.9253185,67516,-119.4881362915039
1557365796.4029245,67718,-116.20630645751953
1557365800.8444235,68398,7.600773334503174
1557365803.708377,68737,-196.39076232910156
1557365804.444707,68847,108.87907409667969
1557365808.101394,69352,-114.30746459960938
1557365809.5590255,69554,-148.89016723632812
1557365812.4901054,69958,-198.3730926513672
1557365814.8699508,70270,-137.61253356933594
1557365819.1607764,70876,-140.39236450195312
1557365819.878971,70977,-153.34164428710938
1557365834.1630898,72944,-140.6486053466797
1557365836.3168144,73256,-144.13619995117188
1557365858.7204149,76382,69.07784271240234
1557365867.2351198,77512,-244.77330017089844
1557365882.3867745,79684,-134.25936889648438
1557365883.1063404,79794,-18.953203201293945
1557365888.8838415,80510,-4.145129203796387
1557365906.0371616,82942,-209.61557006835938
1557365908.1752696,83245,-191.76467895507812
1557365914.6065662,84154,-129.1653289794922
1557365919.5993483,84870,-74.29791259765625
1557365925.239952,85606,-12.675078392028809
1557365925.9439075,85707,-7.580793380737305
1557365928.8171294,86165,-145.06195068359375
1557365929.524429,86266,-144.6217498779297
1557365933.2031472,86771,-170.13107299804688
1557365945.4155235,88416,-211.479736328125
1557365947.5454822,88719,-146.11575317382812
1557365952.5343359,89444,-194.3363037109375
1557365985.0617306,93950,-40.062496185302734
1557365987.209002,94253,-245.74400329589844
1557365988.6562405,94455,-104.85688018798828
1557365990.816058,94767,-244.13525390625
1557365995.2254598,95373,-253.06785583496094
1557365998.8253024,95878,-213.21763610839844
1557366006.0253208,96888,-201.3887939453125
1557366010.3398788,97494,-137.93638610839844
1557366013.8477037,97907,-132.02737426757812
1557366021.024628,98900,-132.3651885986328
1557366048.5027165,102701,-237.20138549804688
1557366051.3851998,103105,-249.40011596679688
1557366052.1075025,103206,-118.58599853515625
1557366052.9556055,103307,-196.49432373046875
1557366064.4916415,104908,-121.13973236083984
1557366073.1143427,106140,-196.5681610107422
1557366080.270879,107110,-24.66861915588379
1557366106.3084292,110672,-129.87208557128906
1557366114.7102222,111783,-148.7149658203125
1557366116.9850051,112086,-120.23566436767578
1557366119.2554204,112389,-144.09803771972656
1557366134.4148808,114351,-116.55731201171875
1557366138.9547708,114957,-140.4872283935547
1557366143.6624084,115586,-194.4018096923828
1557366160.2326052,117728,-142.5999755859375
1557366161.7363014,117939,51.500972747802734
1557366168.5165071,118866,-116.20526123046875
1557366170.784585,119169,-147.07118225097656
1557366173.1610265,119472,-149.65501403808594
1557366173.93025,119573,-144.4386749267578
1557366204.2531104,123577,-24.187318801879883
1557366208.0601537,124091,50.46011734008789
1557366208.8152199,124192,-193.5673828125
1557366225.364648,126322,-223.1718292236328
1557366234.5203395,127534,-117.5071029663086
1557366242.1000876,128544,-120.07081604003906
1557366244.3785548,128811,-147.46641540527344
1557366263.134413,131267,-143.0793914794922
1557366270.824426,132207,-6.955783843994141
1557366276.2578413,132934,-228.12596130371094
1557366280.8818328,133540,-146.7383575439453
1557366302.7734714,136532,-131.39291381835938
1557366305.670559,136936,-116.91471862792969
1557366321.598011,139160,-4.193253993988037
1557366332.7569065,140696,-133.4169464111328
1557366333.473603,140797,-113.6115493774414
1557366344.1749525,142220,-121.09920501708984
1557366347.047742,142624,-168.21229553222656
1557366357.273337,144030,-4.0324249267578125
1557366358.0036533,144131,-40.415771484375
1557366372.4332395,146191,-248.0732421875
1557366379.5193655,147109,-137.63368225097656
1557366381.67518,147412,-119.69541931152344
1557366384.007917,147783,-44.98621368408203
1557366386.1844664,148086,-222.64247131347656
1557366398.2305806,149671,57.75483703613281
1557366407.6105905,150901,-130.39788818359375
1557366414.1242783,151804,-48.64017868041992
1557366416.2785366,152116,-4.566946983337402
1557366417.6895998,152318,-141.14407348632812
1557366419.1035163,152520,-130.36195373535156
1557366420.5487874,152743,-109.10740661621094
1557366424.7943127,153371,-143.5099334716797
1557366431.1612024,154280,-143.21670532226562
1557366441.062667,155694,-137.55776977539062
1557366442.4728518,155896,-154.8871307373047
1557366444.6980858,156199,-221.15655517578125
1557366448.814095,156704,-211.17034912109375
1557366450.9288983,157007,-212.8219757080078
1557366451.6349802,157108,-152.60369873046875
1557366463.700017,158899,-143.0722198486328
1557366469.9716763,159721,-269.62835693359375
1557366473.856068,160236,-5.034156322479248
1557366479.5199387,161044,-134.45159912109375
1557366485.1192293,161806,-158.6085662841797
1557366488.641379,162341,81.75464630126953
1557366502.09468,164209,-111.59886169433594
1557366505.0067642,164613,-150.92691040039062
1557366511.3511555,165532,-173.3040313720703
1557366513.4951599,165871,-211.7534942626953
1557366519.1488776,166688,-174.76351928710938
1557366525.4461734,167558,-219.14108276367188
1557366527.5773413,167861,-120.64824676513672
1557366531.828464,168467,-172.39053344726562
1557366533.3494332,168669,-120.17882537841797
1557366560.9403777,172396,-210.73435974121094
1557366572.6921792,173929,-129.70184326171875
1557366577.663211,174623,-24.384723663330078
1557366579.8269246,174919,-83.60337829589844
1557366581.2575269,175121,-226.28602600097656
1557366593.5117457,176840,-79.79491424560547
1557366603.126541,178163,-304.6339416503906
1557366604.5497026,178365,-274.6875915527344
1557366618.1592,179943,9.930841445922852
1557366621.841913,180322,-134.0244903564453
1557366627.9817178,181130,-277.6309814453125
1557366638.4254906,182582,-187.19888305664062
1557366642.8828623,183188,-242.7355194091797
1557366660.267982,185339,-114.16303253173828
1557366668.1991208,186481,186.53089904785156
1557366670.319376,186753,-30.053863525390625
1557366671.0351632,186854,-117.55290985107422
1557366673.9233413,187258,-195.28948974609375
1557366676.8258235,187662,-139.17701721191406
1557366679.7371051,188066,-153.50416564941406
1557366684.245214,188668,-153.3114471435547
1557366695.4044018,190124,-43.690670013427734
1557366719.4633584,193421,-27.383182525634766
1557366721.705846,193779,46.371315002441406
1557366726.8384297,194470,-152.0301971435547
1557366733.4254065,195379,-237.4322052001953
1557366748.97742,197419,-27.007909774780273
1557366749.7405343,197530,-56.18075942993164
1557366750.51596,197681,-21.154613494873047
1557366756.395892,198489,-214.2913360595703
1557366762.2224236,199254,69.90876007080078
1557366765.1501243,199658,-156.031494140625
1557366778.65829,201451,54.80568313598633
1557366782.307164,201956,-188.47023010253906
1557366783.0298026,202057,-155.71559143066406
1557366783.7612834,202168,-15.946084976196289
1557366785.2196932,202379,69.53995513916016
1557366793.8758492,203511,-184.4204559326172
1557366795.331512,203723,-141.7225341796875
1557366798.9990494,204228,-250.0152130126953
1557366810.8065412,205856,-119.18258666992188
1557366816.696685,206614,187.66171264648438
1557366821.0469341,207220,-227.44117736816406
1557366825.4419374,207826,-157.352294921875
1557366827.6575167,208139,-5.281469345092773
1557366835.7442229,209200,-137.48667907714844
1557366836.471232,209301,-219.897216796875
1557366852.8909202,211536,62.253761291503906
1557366858.7924564,212364,-146.90684509277344
1557366880.9186697,215311,-33.41473388671875
