Wall time,Step,Value
1554952519.9723747,1094,166.13375854492188
1554952550.3003392,1584,151.85487365722656
1554952550.300462,1655,166.57838439941406
1554952550.3011162,1678,151.94744873046875
1554952581.5826137,2113,151.88812255859375
1554952612.0136435,2699,187.88037109375
1554952709.1515613,4305,172.93421936035156
1554952709.1519153,4242,172.88636779785156
1554952740.9850435,4776,187.52256774902344
1554952837.7176783,6357,166.64312744140625
1554952837.7178998,6336,198.20709228515625
1554952867.4535072,6899,187.2186737060547
1554952867.454208,6881,-155.76719665527344
1554952867.454451,6913,188.64041137695312
1554952927.6819215,7966,-168.5663604736328
1554952927.6821904,7993,188.51730346679688
1554952927.6825287,7922,-155.758544921875
1554952989.4405782,8983,-168.56390380859375
1554953019.4457676,9591,-168.91751098632812
1554953079.7610874,10562,-168.56756591796875
1554953079.761128,10605,152.1316375732422
1554953107.8053057,11130,172.6782684326172
1554953137.1317604,11662,166.10890197753906
1554953167.334883,12220,187.92784118652344
1554953257.5469563,13821,166.7130584716797
1554953288.349055,14382,187.68887329101562
1554953320.5395038,14843,172.99560546875
1554953350.3872256,15380,180.7098388671875
1554953350.3872707,15399,188.2390594482422
1554953380.3454397,15910,173.0408935546875
1554953409.3316214,16467,192.13380432128906
1554953409.3319862,16469,173.02296447753906
1554953439.6407604,16956,166.35865783691406
1554953439.64083,16995,-168.91751098632812
1554953439.6415868,16912,-168.91751098632812
1554953468.849291,17446,172.9384765625
1554953528.875365,18572,187.88522338867188
1554953528.8756626,18599,167.0602264404297
1554953559.332012,19017,192.14956665039062
1554953590.0924754,19571,152.3319854736328
1554953590.093036,19649,186.21705627441406
1554953590.0931985,19582,187.71218872070312
1554953590.0934048,19632,198.24407958984375
1554953620.567965,20072,192.13380432128906
1554953620.5680366,20120,187.965576171875
1554953651.1636415,20596,198.26840209960938
1554953651.1639924,20684,-168.56390380859375
1554953651.164437,20708,152.11180114746094
1554953710.5093637,21704,188.5264434814453
1554953861.4859943,24298,173.00396728515625
1554953891.5403016,24840,180.7086639404297
1554953891.5407941,24932,188.54757690429688
1554953922.1840074,25359,-168.9976806640625
1554953922.184283,25393,-169.48451232910156
1554953922.1847565,25426,152.1617889404297
1554953952.4040816,25950,192.16055297851562
1554953952.404227,25911,-155.7608184814453
1554953983.4233627,26406,152.1348876953125
1554954043.2170775,27492,188.6342010498047
1554954043.217182,27567,188.06565856933594
1554954043.2174153,27566,198.2542724609375
1554954073.7878761,28000,151.93698120117188
1554954104.9762561,28532,173.15187072753906
1554954104.976535,28555,180.7098388671875
1554954104.9769628,28544,187.8681640625
1554954193.7558107,30150,192.14105224609375
1554954193.7562413,30146,198.2547149658203
1554954193.7562778,30178,167.0083465576172
1554954223.7535472,30714,-161.32083129882812
1554954253.1069882,31158,166.8716583251953
1554954313.6387677,32227,166.89093017578125
1554954344.44358,32785,166.30613708496094
1554954373.7279932,33301,-168.56390380859375
1554954404.5544581,33855,192.14700317382812
1554954404.5545487,33894,-155.76014709472656
1554954435.2173345,34413,198.2281036376953
1554954435.2175062,34375,-168.91751098632812
1554954525.885652,35966,173.00328063964844
1554954525.8861504,36014,187.27508544921875
1554954555.5355163,36491,-168.56390380859375
1554954585.9079359,37033,195.94325256347656
1554954585.9085505,37008,172.94142150878906
1554954645.152431,38121,152.2466278076172
1554954645.1532047,38115,180.7086639404297
1554954674.482686,38548,192.12884521484375
1554954674.483176,38649,187.15574645996094
1554954734.3872292,39677,172.9402313232422
1554954794.0163603,40699,192.1596221923828
1554954794.0172467,40711,172.9402313232422
1554954824.8611557,41220,198.29861450195312
1554954824.8613267,41214,167.0339813232422
1554954855.6179128,41790,-168.91751098632812
1554954916.6815803,42785,180.70941162109375
1554954976.3573036,43941,152.1446533203125
1554955006.1217039,44383,188.5569305419922
1554955006.1219637,44377,-155.76124572753906
1554955006.1223907,44448,166.47962951660156
1554955036.0466323,44921,188.57095336914062
1554955036.0471892,44987,198.22079467773438
